Ticker_Valido
ABEV3
BBAS3
BBDC3
BBDC4
BRAP4
BRFS3
BRKM5
CCRO3
CMIG4
CPFE3
CPLE6
CSAN3
CSNA3
CYRE3
DASA3
ELET3
ELET6
EMBR3
GFSA3
GGBR4
GOAU4
GOLL4
HYPE3
ITSA4
ITUB4
JBSS3
KLBN4
LIGT3
LREN3
MRFG3
MRVE3
OIBR3
OIBR4
PDGR3
PETR3
PETR4
RENT3
RSID3
SANB11
SBSP3
UGPA3
USIM3
USIM5
VALE3
BBSE3
KLBN11
QUAL3
ECOR3
EVEN3
POMO4
MULT3
RADL3
EQTL3
WEGE3
EGIE3
RAIL3
TAEE11
SUZB3
FLRY3
MGLU3
SAPR11
B3SA3
CVCB3
LOGG3
IRBR3
AZUL4
BPAC11
YDUQ3
COGN3
NTCO3
HAPV3
TOTS3
CRFB3
PCAR3
ENGI11
BEEF3
PRIO3
EZTC3
VIVT3
ENEV3
TIMS3
JHSF3
LWSA3
ASAI3
RDOR3
AMER3
ALPA4
PETZ3
BPAN4
DXCO3
CASH3
VBBR3
CMIN3
IGTI11
POSI3
SLCE3
RAIZ4
SMTO3
RECV3
VAMO3
ALOS3
BHIA3
VIVA3
STBP3
BRAV3
CXSE3
AZZA3
AURE3
